BA+kle(1/20),BA+kle(1/20)+Nic,BA+kle(1/50),BA+kle(1/50)+Nic,BA+kle(1/100),BA+kle(1/100)+Nic,B+kle(1/20),BA+kle(1/20)+Bc
348,328,323,322,310,304,349,320
321,306,300,302,289,288,324,300
308,287,283,283,267,269,310,285
294,278,273,273,256,256,296,272
295,273,267,266,251,247,291,266
278,259,256,254,237,243,284,260
274,256,250,251,233,231,273,250
267,253,245,248,226,227,275,248
269,251,247,246,227,228,265,243
264,247,242,245,224,227,271,246
261,245,239,240,222,225,268,248
263,243,243,239,224,222,265,244
260,242,236,238,223,225,263,241
262,241,239,234,222,221,262,243
260,243,238,236,222,220,265,243
259,242,235,234,219,216,266,241
261,240,237,235,220,221,262,239
1662,1502,1362,1462,1326,1266,1625,1406
1660,1509,1310,1442,1290,1225,1634,1402
1695,1534,1298,1449,1283,1232,1629,1410
1691,1517,1292,1441,1292,1228,1642,1420
1701,1536,1288,1449,1281,1247,1655,1391
1707,1512,1284,1450,1278,1232,1639,1397
1699,1527,1287,1448,1297,1225,1647,1394
1707,1541,1277,1458,1290,1222,1624,1375
1711,1527,1294,1449,1287,1218,1637,1398
267,236,232,233,223,221,263,240
1555,1298,1349,1470,1371,1286,1494,4503
1562,1302,1240,1368,1281,1199,1498,6306
1537,1284,1239,1354,1276,1191,1508,6458
1542,1295,1246,1344,1273,1186,1479,6518
1556,1281,1227,1373,1292,1191,1473,6626
1532,1272,1232,1360,1296,1182,1500,6617
1546,1297,1238,1367,1295,1196,1498,6673
1534,1301,1218,1346,1284,1198,1508,6747
1551,1319,1233,1350,1280,1184,1497,6650
1543,1336,1213,1344,1302,1183,1512,6746
1561,1363,1230,1341,1291,1161,1540,6723
1563,1384,1220,1344,1289,1189,1556,6778
1599,1439,1244,1356,1279,1178,1557,6744
1609,1487,1231,1373,1290,1185,1574,6815
1634,1516,1226,1365,1282,1176,1605,6799
1664,1584,1240,1375,1290,1189,1644,6823
1672,1616,1240,1378,1288,1178,1662,6817
1709,1664,1228,1355,1293,1191,1691,6802
1731,1714,1229,1368,1302,1192,1720,6844
1777,1746,1240,1371,1286,1192,1740,6857
1799,1801,1222,1371,1279,1183,1792,6828
1826,1833,1243,1366,1276,1200,1806,6847
1856,1886,1237,1383,1287,1196,1840,6908
1888,1934,1245,1367,1290,1195,1890,6895
1932,1960,1241,1379,1293,1188,1913,6909
1947,1997,1248,1371,1297,1189,1932,6941
2002,2064,1252,1399,1290,1205,1980,6901
2004,2086,1263,1416,1286,1208,2005,6933
2071,2161,1263,1427,1301,1218,2034,6978
2077,2175,1278,1427,1295,1221,2063,6944
2130,2257,1275,1465,1302,1221,2118,6993
2171,2273,1277,1476,1304,1225,2143,6963
2169,2340,1285,1486,1303,1227,2176,6984
2221,2365,1284,1506,1301,1252,2220,7062
2241,2435,1309,1528,1306,1251,2238,7025
2273,2448,1305,1551,1307,1243,2288,7040
2325,2495,1315,1568,1323,1255,2311,7008
2344,2558,1323,1579,1311,1283,2352,7040
2384,2589,1331,1608,1327,1270,2379,7029
2404,2630,1345,1627,1312,1285,2395,7059
2447,2679,1364,1647,1319,1297,2434,7069
2459,2698,1353,1681,1316,1284,2466,7074
2505,2802,1378,1675,1305,1315,2510,7101
2530,2813,1372,1701,1315,1312,2526,7060
2580,2831,1394,1716,1325,1342,2575,7090
2596,2892,1395,1724,1328,1355,2557,7091
2605,2939,1400,1743,1320,1369,2603,7117
2647,2975,1417,1776,1316,1391,2668,7081
2675,3020,1422,1791,1325,1372,2665,7091
2709,3052,1448,1803,1308,1399,2686,7116
2745,3098,1463,1827,1310,1395,2708,7150
2754,3167,1458,1834,1295,1420,2748,7160
2788,3183,1484,1846,1326,1427,2808,7175
2852,3259,1489,1887,1321,1449,2816,7139
2864,3260,1487,1889,1322,1445,2862,7132
2908,3306,1505,1929,1332,1461,2860,7161
2932,3374,1501,1940,1325,1480,2906,7152
2942,3385,1531,1969,1327,1481,2913,7159
2986,3440,1542,1948,1326,1506,2961,7166
3007,3449,1532,1989,1323,1530,2988,7200
3058,3496,1546,2021,1338,1515,2989,7171
3058,3566,1562,2031,1331,1544,3044,7195
3092,3593,1576,2037,1327,1541,3063,7174
3102,3619,1593,2071,1328,1562,3125,7191
3150,3669,1603,2076,1338,1572,3119,7192
3184,3706,1590,2096,1342,1579,3149,7190
3215,3780,1615,2128,1342,1599,3169,7185
3212,3775,1622,2157,1335,1626,3213,7243
3275,3839,1630,2144,1336,1624,3232,7229
3277,3840,1636,2180,1339,1642,3238,7185
3311,3903,1644,2195,1348,1651,3276,7260
3325,3954,1660,2218,1356,1680,3303,7267
3361,3970,1665,2248,1357,1695,3327,7239
3400,4003,1683,2240,1355,1698,3367,7224
3397,4069,1691,2276,1351,1706,3364,7239
3429,4096,1690,2287,1348,1715,3418,7263
3450,4119,1687,2319,1358,1730,3452,7253
3486,4162,1711,2333,1374,1759,3473,7240
3512,4207,1727,2370,1377,1749,3485,7290
3572,4238,1729,2379,1373,1761,3544,7255
3590,4306,1758,2415,1376,1759,3509,7236
3584,4317,1767,2414,1395,1777,3571,7298
3639,4379,1767,2414,1375,1785,3583,7243
3649,4388,1778,2456,1392,1824,3598,7272
3686,4454,1775,2464,1390,1804,3630,7290
3689,4454,1793,2476,1393,1836,3700,7249
3705,4504,1806,2513,1385,1858,3705,7298
3750,4546,1797,2530,1398,1864,3724,7292
3729,4561,1816,2548,1406,1852,3747,7317
3797,4620,1825,2549,1412,1879,3753,7305
3832,4660,1844,2582,1445,1895,3814,7292
3849,4682,1864,2613,1427,1914,3800,7299
3869,4726,1848,2617,1425,1928,3831,7330
3886,4717,1869,2640,1432,1934,3881,7318
3893,4781,1887,2651,1428,1945,3873,7324
3908,4791,1879,2678,1438,1954,3907,7342
3926,4851,1898,2690,1432,1975,3919,7316
3977,4887,1894,2714,1452,1978,3945,7328
3991,4901,1924,2727,1456,1993,3966,7324
4030,4937,1920,2748,1442,2025,3997,7350
4058,5006,1945,2788,1460,2026,4001,7358
4080,5041,1952,2803,1452,2031,4059,7374
4104,5058,1934,2812,1465,2034,4060,7342
4109,5066,1947,2843,1453,2067,4100,7337
4139,5122,1976,2853,1476,2065,4090,7338
4182,5171,1976,2865,1476,2076,4118,7387
4178,5179,1997,2880,1480,2095,4162,7361
4202,5206,2002,2905,1477,2132,4173,7351
4211,5231,2011,2909,1497,2137,4178,7383
4263,5292,2026,2964,1498,2152,4209,7340
4287,5313,2016,2960,1503,2152,4237,7352
4292,5348,2033,2980,1511,2164,4245,7388
4331,5379,2050,3008,1504,2162,4276,7390
4359,5455,2060,3028,1526,2180,4274,7353
4376,5447,2073,3046,1512,2199,4322,7391
4374,5458,2067,3063,1516,2221,4346,7345
4431,5518,2082,3083,1519,2233,4358,7404
4435,5553,2096,3099,1524,2237,4372,7409
4469,5593,2106,3110,1550,2261,4431,7356
4477,5629,2122,3167,1555,2270,4419,7365
4473,5652,2129,3160,1550,2282,4461,7434
4485,5686,2139,3183,1544,2300,4497,7366
4520,5716,2139,3187,1550,2313,4491,7431
4572,5734,2139,3177,1553,2303,4511,7434
4576,5775,2158,3245,1568,2345,4520,7419
4596,5812,2160,3262,1592,2348,4517,7426
4653,5833,2173,3270,1587,2354,4613,7448
4638,5881,2185,3312,1585,2362,4594,7421
4649,5931,2196,3321,1582,2393,4624,7406
4695,5948,2228,3341,1615,2407,4622,7427
4689,5967,2215,3338,1604,2419,4652,7419
4696,5948,2246,3337,1605,2432,4653,7415
4734,6058,2244,3384,1597,2441,4699,7477
4743,6064,2234,3395,1623,2442,4703,7428
4779,6103,2256,3413,1622,2475,4736,7420
4773,6140,2259,3446,1613,2498,4764,7445
4845,6163,2277,3484,1632,2479,4774,7461
4835,6209,2271,3472,1617,2509,4763,7412
4892,6222,2283,3502,1620,2526,4823,7434
4897,6273,2293,3521,1635,2560,4813,7479
4892,6260,2322,3517,1654,2532,4860,7481
4894,6293,2316,3558,1654,2551,4854,7470
4927,6314,2325,3571,1658,2573,4880,7463
4945,6390,2348,3560,1659,2592,4879,7504
4989,6360,2343,3605,1668,2602,4919,7469
5004,6462,2363,3623,1666,2609,4939,7451
5020,6486,2375,3631,1675,2628,4950,7489
5023,6534,2403,3667,1679,2661,4960,7491
5067,6537,2386,3683,1680,2660,5017,7511
5043,6595,2374,3691,1673,2677,4991,7458
5103,6593,2415,3710,1702,2686,5047,7492
5112,6633,2412,3726,1695,2698,5048,7510
5092,6618,2431,3749,1698,2706,5068,7459
5135,6670,2423,3756,1687,2737,5106,7492
5135,6707,2427,3774,1705,2725,5111,7492
5155,6747,2452,3788,1710,2750,5140,7490
5207,6767,2460,3804,1722,2761,5104,7477
5180,6793,2459,3828,1722,2791,5155,7497
5230,6819,2466,3827,1722,2791,5168,7503
5233,6884,2494,3891,1737,2817,5166,7503
5258,6901,2497,3897,1738,2817,5191,7532
5293,6937,2506,3902,1735,2800,5230,7520
5295,6973,2530,3942,1744,2825,5246,7492
5310,6961,2527,3966,1760,2872,5297,7514
5322,7027,2540,3959,1760,2872,5268,7548
5351,7071,2558,4006,1729,2894,5302,7516
5357,7046,2557,4002,1774,2882,5321,7550
5399,7111,2565,4001,1779,2910,5325,7538
5380,7100,2554,4042,1763,2909,5350,7534
5438,7116,2566,4056,1788,2923,5338,7554
5430,7244,2593,4057,1773,2938,5354,7553
5445,7224,2594,4127,1783,2958,5371,7524
5480,7262,2609,4103,1796,2977,5404,7530
