Base中文,Down+F7+E1,Base+E1+I,Base+All(0.08F'),Base+All(0F'),Base+E1+E2(0.08F'),Base+E1+e2(0.04F'),Base+E1+E2(0.02F'),Base+E1+E2(0F')
-1,101,62,41,62,121,133,112,139
-41,5,27,26,15,47,57,34,39
-163,-125,-88,-103,-127,-72,-59,-93,-104
-251,-228,-164,-179,-234,-159,-123,-185,-205
-321,-294,-211,-243,-300,-189,-184,-218,-273
0,0,0,0,0,0,0,0,0
-277,-280,-230,-240,-284,-219,-190,-223,-241
-374,-373,-304,-335,-379,-304,-271,-303,-323
-430,-420,-338,-389,-434,-348,-316,-349,-371
-467,-446,-356,-420,-460,-374,-350,-382,-406
-490,-460,-361,-436,-489,-392,-368,-399,-430
-505,-462,-351,-448,-494,-392,-371,-412,-440
-518,-465,-332,-442,-501,-394,-397,-416,-447
-525,-471,-311,-438,-502,-399,-403,-419,-450
-536,-461,-287,-440,-510,-393,-405,-417,-452
-538,-467,-261,-433,-498,-383,-409,-410,-446
-537,-447,-216,-426,-493,-380,-392,-386,-424
-547,-446,-187,-409,-484,-360,-382,-377,-418
-551,-428,-129,-400,-481,-353,-360,-378,-408
-546,-414,-61,-390,-465,-344,-351,-365,-392
-547,-416,-26,-374,-469,-341,-331,-371,-405
-549,-414,26,-360,-463,-339,-335,-358,-396
-550,-398,55,-354,-445,-341,-335,-351,-381
-537,-377,111,-326,-436,-321,-326,-346,-377
-542,-369,166,-308,-443,-320,-339,-348,-385
-534,-360,208,-303,-432,-316,-326,-353,-383
-534,-345,247,-260,-438,-305,-321,-343,-394
-534,-328,287,-230,-440,-295,-320,-323,-383
-545,-328,350,-225,-436,-264,-283,-310,-385
-546,-325,404,-218,-427,-265,-293,-298,-379
-553,-328,436,-210,-419,-251,-289,-294,-381
-561,-333,466,-196,-416,-244,-272,-300,-347
-554,-330,540,-185,-407,-251,-262,-298,-313
-553,-301,607,-174,-409,-238,-234,-296,-315
-559,-289,666,-143,-421,-220,-238,-299,-323
-572,-300,760,-112,-418,-223,-235,-294,-326
-563,-301,786,-96,-411,-234,-233,-297,-338
-575,-312,822,-69,-406,-230,-239,-306,-334
-574,-303,858,-55,-407,-239,-233,-282,-321
-566,-294,913,-31,-377,-233,-244,-281,-337
-565,-302,969,-3,-382,-237,-247,-286,-342
-575,-290,1035,25,-355,-185,-249,-291,-321
-568,-294,1060,78,-365,-189,-245,-282,-326
-563,-289,1114,86,-370,-163,-249,-274,-321
-568,-294,1166,98,-381,-163,-233,-273,-317
-571,-301,1209,116,-381,-159,-237,-275,-304
-574,-292,1265,146,-386,-155,-245,-282,-296
-579,-293,1285,156,-371,-129,-233,-284,-302
-584,-301,1340,177,-377,-136,-222,-288,-302
-595,-287,1449,206,-363,-134,-218,-272,-283
-597,-243,1575,210,-365,-55,-212,-263,-275
-597,-211,1607,232,-374,-51,-206,-260,-276
-602,-219,1635,246,-353,-27,-204,-228,-284
-603,-208,1688,273,-351,-34,-189,-227,-263
-599,-217,1738,291,-344,-35,-189,-230,-270
-603,-211,1784,316,-348,-31,-192,-231,-279
-574,-211,1848,327,-323,-27,-192,-228,-288
-573,-198,1890,344,-329,-14,-191,-201,-254
-575,-198,1937,368,-279,-15,-195,-189,-255
-577,-206,2020,601,-281,-13,-55,-191,-259
-582,-196,2083,676,-284,-19,-67,-193,-263
-556,-197,2358,673,-292,-5,-73,-193,-260
-559,-197,2441,675,-286,1,3,-192,-267
-554,-203,2463,735,-254,3,-2,-198,-271
-560,-205,2471,747,-254,15,3,-193,-277
-567,-209,2539,834,-266,53,-8,-168,-286
-570,-212,2561,839,-263,49,-24,-179,-229
-577,-197,2584,849,-271,60,-18,-96,-239
-582,-194,2626,858,-263,76,-16,-108,-237
-587,-199,2653,867,-263,82,11,-116,-249
-591,-200,2671,878,-270,88,5,-129,-132
-595,-185,2707,963,-277,128,-4,-95,-147
-588,-179,2762,1230,-270,133,4,-94,-150
-588,-183,3101,1225,-280,145,4,-95,-157
-579,-189,3102,1230,-281,152,-5,-102,-168
-579,13,3133,1240,-272,151,3,-104,-170
-587,45,3159,1269,-281,155,24,-110,-170
-591,24,3178,1273,-275,166,25,-115,-164
-596,14,3240,1290,-281,245,24,72,-175
-597,9,3280,1293,-276,260,147,122,-182
-609,5,3333,1386,-280,269,151,102,-180
-611,57,3358,1391,-267,269,144,91,-110
-580,106,3404,1438,-176,274,133,91,-129
-567,92,3872,1512,-186,274,136,79,-139
-566,81,3884,1527,-188,283,131,75,-132
-569,71,3931,1568,-190,296,136,66,-135
-573,86,3936,1602,-192,298,125,58,-109
-569,79,3955,1611,-197,300,137,51,-117
-565,76,4199,1642,-196,297,135,61,-116
-564,86,4209,1657,-205,302,148,54,-119
-564,72,4213,1665,-214,302,136,40,-130
-569,71,4173,1729,-211,306,149,42,-91
-568,64,4174,1751,-215,312,209,42,-89
-575,66,4340,1773,-216,351,235,37,-82
-575,204,4380,1788,-212,360,233,120,-81
-581,180,4389,1789,-215,374,220,110,-88
-583,169,4420,1810,-172,382,223,104,-95
-589,167,4452,1886,-155,429,219,186,-104
-593,156,4475,1955,-157,429,211,199,-101
-589,182,4600,2048,-164,428,199,184,-105
-593,170,4605,2069,-161,435,191,171,-112
-601,190,4622,2081,-168,456,179,161,-121
-599,199,4655,2171,-165,505,159,152,-122
-600,187,4688,2236,75,507,149,140,-127
-605,182,4710,2252,78,506,174,129,-124
-607,176,4774,2260,57,526,192,122,-103
-615,168,4791,2261,33,526,199,120,-110
-622,170,4822,2269,11,533,216,128,-113
-621,160,4867,2736,3,540,219,142,-118
-622,160,4891,2725,-10,564,219,149,-125
-615,156,4908,2701,-23,570,225,153,-110
-611,145,4917,2717,-22,581,228,152,-96
-603,158,5099,2712,-24,604,331,160,-92
-503,166,5147,2713,-30,608,336,159,23
-511,159,5216,2733,-25,634,337,156,13
-522,168,5303,2729,-31,641,345,154,2
-527,395,5345,2742,-36,747,342,155,-8
-484,377,5374,2763,-42,752,364,164,-21
-493,369,5386,2779,-48,795,362,163,-24
-501,356,5390,2794,-42,801,377,173,-27
-505,344,5410,2795,-53,817,406,173,-33
-512,350,5433,2800,-61,820,417,274,-35
-501,333,6692,2847,-69,827,405,254,-37
-511,321,6560,2958,160,1128,407,241,-39
-514,315,6486,3017,137,1114,398,242,-32
-520,332,6406,3003,112,1095,399,231,-34
-527,315,6385,3087,110,1083,401,236,-41
-530,309,6343,3123,89,1089,450,237,-39
-539,294,6303,3126,83,1093,455,238,-32
-538,311,6309,3123,75,1094,482,244,-35
-546,290,6291,3117,73,1092,483,253,-43
-551,298,6288,3121,65,1102,489,247,-45
-552,290,6281,3170,50,1489,502,255,-40
-553,337,6260,3177,47,1441,500,252,-42
-557,356,6237,3217,42,1405,495,276,-43
-557,360,6212,3304,45,1387,647,418,-43
-561,400,6221,3808,42,1371,642,400,-46
-568,414,6623,3741,55,1353,641,389,-51
-569,405,6645,3714,52,1335,642,381,-54
-576,399,6644,3685,42,1329,641,366,-45
-569,403,6614,3670,38,1300,643,367,-40
-534,397,7859,3796,41,1254,649,354,-27
-538,395,7721,3771,34,1220,652,353,45
-549,386,7681,3860,67,1208,657,421,40
-554,373,7589,3846,64,1219,657,413,29
-555,368,7528,3813,69,1216,655,404,20
-556,356,7473,3835,58,1234,662,399,10
-558,366,7483,3840,56,1239,669,396,10
-566,361,7788,3849,56,1245,685,397,3
-566,375,7752,3869,49,1265,695,392,16
